---------- Running at 07/02/2023, 20:48:51 ----------
07/02/2023, 20:51:27 - Transaction - Bought 931.729155008394 EUR @ 1.0722 ($999)
07/02/2023, 21:00:55 - Transaction - Sold 931.729155008394 EUR @ 1.0723 ($998.0940797425853) [Switching market]
07/02/2023, 21:02:06 - Transaction - Bought 1861.2954744499586 FET @ 0.5357 ($997.0959856628427)
07/02/2023, 21:03:52 - Transaction - Sold 1861.2954744499586 FET @ 0.5361 ($996.8426633487703) [Switching market]
07/02/2023, 21:04:50 - Transaction - Bought 23267.425716949103 REI @ 0.0428 ($995.8458206854216)
07/02/2023, 21:05:58 - Transaction - Sold 23267.425716949103 REI @ 0.0428 ($994.8499748647362) [Switching market]
07/02/2023, 21:07:10 - Transaction - Bought 1855.5920927742186 FET @ 0.5356 ($993.8551248898714)
07/02/2023, 21:08:06 - Transaction - Sold 1855.5920927742186 FET @ 0.5353 ($992.3051488147771) [Switching market]
07/02/2023, 21:09:11 - Transaction - Bought 1736.0995510787432 AGLD @ 0.571 ($991.3128436659623)
07/02/2023, 21:10:22 - Transaction - Sold 1736.0995510787432 AGLD @ 0.571 ($990.3215308222963) [Switching market]
07/02/2023, 21:11:22 - Transaction - Bought 1372.1653388231264 FIS @ 0.721 ($989.331209291474)
07/02/2023, 21:18:46 - Transaction - Sold 1372.1653388231264 FIS @ 0.7204 ($987.5194021780922) [Switching market]
07/02/2023, 21:19:59 - Transaction - Bought 1733.7994424884255 AGLD @ 0.569 ($986.531882775914)
07/02/2023, 21:21:00 - Transaction - Sold 1733.7994424884255 AGLD @ 0.569 ($985.5453508931381) [Switching market]
07/02/2023, 21:21:56 - Transaction - Bought 1724.2728643471892 AGLD @ 0.571 ($984.5598055422449)
07/02/2023, 21:24:00 - Transaction - Sold 1724.2728643471892 AGLD @ 0.571 ($983.5752457367028) [Switching market]
07/02/2023, 21:25:04 - Transaction - Bought 1367.3694273461815 FIS @ 0.7186 ($982.5916704909661)
07/02/2023, 21:25:54 - Transaction - Sold 1367.3694273461815 FIS @ 0.7186 ($981.6090788204751) [Switching market]
07/02/2023, 21:26:51 - Transaction - Bought 1693.6571152705608 AGLD @ 0.579 ($980.6274697416546)
07/02/2023, 21:32:44 - Transaction - Sold 1693.6571152705608 AGLD @ 0.579 ($979.646842271913) [Switching market]
07/02/2023, 21:33:45 - Transaction - Bought 237.13767759380693 INJ @ 4.127 ($978.6671954296411)
07/02/2023, 21:34:52 - Transaction - Sold 237.13767759380693 INJ @ 4.128 ($977.9254287741278) [Switching market]
07/02/2023, 21:38:11 - Transaction - Sold 0 INJ @ 4.12 ($977.9254287741278) [Switching market]
07/02/2023, 21:39:27 - Transaction - Bought 1701.999134748003 AGLD @ 0.574 ($976.9475033453537)
07/02/2023, 21:40:24 - Transaction - Sold 1701.999134748003 AGLD @ 0.574 ($975.9705558420083) [Switching market]
07/02/2023, 21:41:20 - Transaction - Bought 1350.408012861726 FIS @ 0.722 ($974.9945852861663)
---------- Running at 07/02/2023, 21:52:35 ----------
